Org code - RF4,Region - London Commissioning Region,"Name - Barking, Havering and Redbridge University Hospitals NHS Trust",STP - NHS North East London Integrated Care Board,"STP.1 - Bath and North East Somerset, Swindon and Wiltshire STP",Code - QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD","NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board"
RP6,London Commissioning Region,Moorfields Eye Hospital NHS Foundation Trust,NHS North Central London Integrated Care Board,Dorset STP,QVV,NHS DORSET INTEGRATED CARE BOARD,NHS Dorset Integrated Care Board
RAP,London Commissioning Region,North Middlesex University Hospital NHS Trust,NHS North Central London Integrated Care Board,East London Health & CarePartnership (STP),QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,NHS North East London Integrated Care Board
RAL,London Commissioning Region,Royal Free London NHS Foundation Trust,NHS North Central London Integrated Care Board,Frimley Health & Care Ics (STP),QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,NHS Frimley Integrated Care Board
RAN,London Commissioning Region,Royal National Orthopaedic Hospital NHS Trust,NHS North Central London Integrated Care Board,Gloucestershire STP,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,NHS Gloucestershire Integrated Care Board
RKE,London Commissioning Region,The Whittington Health NHS Trust,NHS North Central London Integrated Care Board,Greater Manchester Health and Social Care Partnership (STP),QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,NHS Greater Manchester Integrated Care Board
RRV,London Commissioning Region,University College London Hospitals NHS Foundation Trust,NHS North Central London Integrated Care Board,Hampshire and The Isle of Wight STP,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,NHS Hampshire And Isle Of Wight Integrated Care Board
Y03218,London Commissioning Region,The Pinn Unregistered Wic ,NHS North West London Integrated Care Board,Healthier Lancashire and South Cumbria,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NHS Lancashire And South Cumbria Integrated Care Board
NYM13,London Commissioning Region,HHCIC EAST WIC,NHS North West London Integrated Care Board,Herefordshire and Worcestershire STP,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,NHS Herefordshire And Worcestershire Integrated Care Board
Y02692,London Commissioning Region,Brent Gp Access Unit Harness-Wembley,NHS North West London Integrated Care Board,Hertfordshire and West Essex STP,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,NHS Hertfordshire And West Essex Integrated Care Board
RYX,London Commissioning Region,Central London Community Healthcare NHS Trust,NHS North West London Integrated Care Board,"Humber, Coast and Vale STP",QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,NHS Humber And North Yorkshire Integrated Care Board
RQM,London Commissioning Region,Chelsea and Westminster Hospital NHS Foundation Trust,NHS North West London Integrated Care Board,Joined Up Care Derbyshire STP,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,NHS Derby And Derbyshire Integrated Care Board
RYJ,London Commissioning Region,Imperial College Healthcare NHS Trust,NHS North West London Integrated Care Board,Kent and Medway STP,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,NHS Kent And Medway Integrated Care Board
R1K,London Commissioning Region,London North West University Healthcare NHS Trust,NHS North West London Integrated Care Board,"Leicester, Leicestershire and Rutland STP",QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD","NHS Leicester, Leicestershire And Rutland Integrated Care Board"
RT3,London Commissioning Region,Royal Brompton & Harefield NHS Foundation Trust,NHS North West London Integrated Care Board,Lincolnshire STP,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,NHS Lincolnshire Integrated Care Board
RAS,London Commissioning Region,The Hillingdon Hospitals NHS Foundation Trust,NHS North West London Integrated Care Board,Mid and South Essex STP,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,NHS Mid And South Essex Integrated Care Board
E84068,London Commissioning Region,The Ridgeway Surgery,NHS North West London Integrated Care Board,Norfolk and Waveney Health & Care Partnership (STP),QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,NHS Norfolk And Waveney Integrated Care Board
AD913,London Commissioning Region,Beckenham Beacon UCC,NHS South East London Integrated Care Board,North London Partners In Health & Care (STP),QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,NHS North Central London Integrated Care Board
RJ1,London Commissioning Region,Guy'S and St Thomas' NHS Foundation Trust,NHS South East London Integrated Care Board,North West London Health & Care Partnership (STP),QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,NHS North West London Integrated Care Board
RJZ,London Commissioning Region,King'S College Hospital NHS Foundation Trust,NHS South East London Integrated Care Board,Northamptonshire STP,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,NHS Northamptonshire Integrated Care Board
RJ2,London Commissioning Region,Lewisham and Greenwich NHS Trust,NHS South East London Integrated Care Board,Nottingham and Nottinghamshire Health and Care STP,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,NHS Nottingham And Nottinghamshire Integrated Care Board
Y02147,London Commissioning Region,Urgent Care Centre,NHS South East London Integrated Care Board,Our Healthier South East London STP,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,NHS South East London Integrated Care Board
Y03201,London Commissioning Region,Waldron - Hurley Unregistered Practice,NHS South East London Integrated Care Board,Shropshire and Telford and Wrekin STP,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD","NHS Shropshire, Telford And Wrekin Integrated Care Board"
RJ6,London Commissioning Region,Croydon Health Services NHS Trust,NHS South West London Integrated Care Board,Somerset STP,QSL,NHS SOMERSET INTEGRATED CARE BOARD,NHS Somerset Integrated Care Board
NX122,London Commissioning Region,Edridge Road Community Health Centre,NHS South West London Integrated Care Board,South West London Health & Care Partnership (STP),QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,NHS South West London Integrated Care Board
RVR,London Commissioning Region,Epsom and St Helier University Hospitals NHS Trust,NHS South West London Integrated Care Board,South Yorkshire and Bassetlaw STP,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NHS South Yorkshire Integrated Care Board
RY9,London Commissioning Region,Hounslow and Richmond Community Healthcare NHS Trust,NHS South West London Integrated Care Board,Staffordshire and Stoke On Trent STP,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,NHS Staffordshire And Stoke-On-Trent Integrated Care Board
RAX,London Commissioning Region,Kingston and Richmond NHS Foundation Trust,NHS South West London Integrated Care Board,Suffolk and North East Essex STP,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,NHS Suffolk And North East Essex Integrated Care Board
AF003,London Commissioning Region,Parkway Miu,NHS South West London Integrated Care Board,Surrey Heartlands Health & Care Partnership (STP),QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,NHS Surrey Heartlands Integrated Care Board
AF002,London Commissioning Region,Purley Miu,NHS South West London Integrated Care Board,Sussex Health and Care Partnership STP,QNX,NHS SUSSEX INTEGRATED CARE BOARD,NHS Sussex Integrated Care Board
RJ7,London Commissioning Region,St George'S University Hospitals NHS Foundation Trust,NHS South West London Integrated Care Board,The Black Country and West Birmingham STP,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,NHS Black Country Integrated Care Board
Y03094,London Commissioning Region,The Junction Hc - Unregistered Patients,NHS South West London Integrated Care Board,West Yorkshire (Health & Care Partnership) STP,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,NHS West Yorkshire Integrated Care Board
RC9,East of England Commissioning Region,Bedfordshire Hospitals NHS Foundation Trust,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",,,,
RD8,East of England Commissioning Region,Milton Keynes University Hospital NHS Foundation Trust,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",,,,
Y02428,East of England Commissioning Region,Putnoe Medical Centre Walk In Centre,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",,,,
NL7,Midlands Commissioning Region,Assura Vertis Urgent Care Centres (Birmingham),NHS Birmingham And Solihull Integrated Care Board,,,,
8J094,Midlands Commissioning Region,Badger Ltd,NHS Birmingham And Solihull Integrated Care Board,,,,
M85813,Midlands Commissioning Region,Birmingham Wic,NHS Birmingham And Solihull Integrated Care Board,,,,
RQ3,Midlands Commissioning Region,Birmingham Women'S and Children'S NHS Foundation Trust,NHS Birmingham And Solihull Integrated Care Board,,,,
Y03007,Midlands Commissioning Region,Erdington Gp Health & Wellbeing Wic,NHS Birmingham And Solihull Integrated Care Board,,,,
NTPAL,Midlands Commissioning Region,Greet General Practice & Urgent Care Centre,NHS Birmingham And Solihull Integrated Care Board,,,,
RR1,Midlands Commissioning Region,Heart of England NHS Foundation Trust,NHS Birmingham And Solihull Integrated Care Board,,,,
Y02615,Midlands Commissioning Region,South Birmingham Gp Walk In Centre,NHS Birmingham And Solihull Integrated Care Board,,,,
RRK,Midlands Commissioning Region,University Hospitals Birmingham NHS Foundation Trust,NHS Birmingham And Solihull Integrated Care Board,,,,
RGT,East of England Commissioning Region,Cambridge University Hospitals NHS Foundation Trust,NHS Cambridgeshire And Peterborough Integrated Care Board,,,,
RQQ,East of England Commissioning Region,Hinchingbrooke Health Care NHS Trust,NHS Cambridgeshire And Peterborough Integrated Care Board,,,,
RGN,East of England Commissioning Region,Peterborough and Stamford Hospitals NHS Foundation Trust,NHS Cambridgeshire And Peterborough Integrated Care Board,,,,
RYG,Midlands Commissioning Region,Coventry and Warwickshire Partnership NHS Trust,NHS Coventry And Warwickshire Integrated Care Board,,,,
RLT,Midlands Commissioning Region,George Eliot Hospital NHS Trust,NHS Coventry And Warwickshire Integrated Care Board,,,,
Y02652,Midlands Commissioning Region,NHS Coventry Healthcare & Wic,NHS Coventry And Warwickshire Integrated Care Board,,,,
RJC,Midlands Commissioning Region,South Warwickshire University NHS Foundation Trust,NHS Coventry And Warwickshire Integrated Care Board,,,,
RKB,Midlands Commissioning Region,University Hospitals Coventry and Warwickshire NHS Trust,NHS Coventry And Warwickshire Integrated Care Board,,,,
RWP,Midlands Commissioning Region,Worcestershire Acute Hospitals NHS Trust,NHS Herefordshire And Worcestershire Integrated Care Board,,,,
RLQ,Midlands Commissioning Region,Wye Valley NHS Trust,NHS Herefordshire And Worcestershire Integrated Care Board,,,,
RWH,East of England Commissioning Region,East and North Hertfordshire NHS Trust,NHS Hertfordshire And West Essex Integrated Care Board,,,,
DT301,East of England Commissioning Region,HERTS URGENT CARE (ASCOTS LANE),NHS Hertfordshire And West Essex Integrated Care Board,,,,
RY4,East of England Commissioning Region,Hertfordshire Community NHS Trust,NHS Hertfordshire And West Essex Integrated Care Board,,,,
RQW,East of England Commissioning Region,The Princess Alexandra Hospital NHS Trust,NHS Hertfordshire And West Essex Integrated Care Board,,,,
RWG,East of England Commissioning Region,West Hertfordshire Teaching Hospitals NHS Trust,NHS Hertfordshire And West Essex Integrated Care Board,,,,
RJF,Midlands Commissioning Region,Burton Hospitals NHS Foundation Trust,NHS Derby And Derbyshire Integrated Care Board,,,,
RFS,Midlands Commissioning Region,Chesterfield Royal Hospital NHS Foundation Trust,NHS Derby And Derbyshire Integrated Care Board,,,,
RTG,Midlands Commissioning Region,University Hospitals Of Derby And Burton NHS Foundation Trust,NHS Derby And Derbyshire Integrated Care Board,,,,
RY8,Midlands Commissioning Region,Derbyshire Community Health Services NHS Foundation Trust,NHS Derby And Derbyshire Integrated Care Board,,,,
NNJ0H,Midlands Commissioning Region,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE ,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",,,,
NNJ,Midlands Commissioning Region,Derbyshire Health United Ltd,NHS Derby And Derbyshire Integrated Care Board,,,,
C82038,Midlands Commissioning Region,Latham House Medical Practice,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",,,,
NNJ07,Midlands Commissioning Region,Loughborough Urgent Care Centre,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",,,,
C82009,Midlands Commissioning Region,Market Harborough Med.Ctr,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",,,,
NNJ10,Midlands Commissioning Region,Enderby Leisure Centre,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",,,,
NNJ11,Midlands Commissioning Region,Lutterworth Hiospital,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",,,,
NNJ12,Midlands Commissioning Region,Market Harborough Urgent Care Centre,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",,,,
NNJ13,Midlands Commissioning Region,Melton Mowbray Urgent Care Centre,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",,,,
NNJ14,Midlands Commissioning Region,Oadby & Wigston Urgent Care Centre,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",,,,
C82010,Midlands Commissioning Region,Oakham Medical Practice,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",,,,
NNJ15,Midlands Commissioning Region,Oakham Urgent Care Centre,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",,,,
Y02470,Midlands Commissioning Region,Ssafa Care Walk-In-Centre,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",,,,
RWE,Midlands Commissioning Region,University Hospitals of Leicester NHS Trust,"NHS Leicester, Leicestershire And Rutland Integrated Care Board",,,,
RY5,Midlands Commissioning Region,Lincolnshire Community Health Services NHS Trust,NHS Lincolnshire Integrated Care Board,,,,
C83023,Midlands Commissioning Region,Sleaford Medical Group,NHS Lincolnshire Integrated Care Board,,,,
RWD,Midlands Commissioning Region,United Lincolnshire Teaching Hospitals NHS Trust,NHS Lincolnshire Integrated Care Board,,,,
RAJ,East of England Commissioning Region,Mid and South Essex NHS Foundation Trust,NHS Mid And South Essex Integrated Care Board,,,,
NAX,East of England Commissioning Region,East Coast Community Healthcare C.I.C,NHS Norfolk And Waveney Integrated Care Board,,,,
RGP,East of England Commissioning Region,James Paget University Hospitals NHS Foundation Trust,NHS Norfolk And Waveney Integrated Care Board,,,,
RM1,East of England Commissioning Region,Norfolk and Norwich University Hospitals NHS Foundation Trust,NHS Norfolk And Waveney Integrated Care Board,,,,
NMH01,East of England Commissioning Region,Norwich Practices Ltd (Castle Mall),NHS Norfolk And Waveney Integrated Care Board,,,,
RCX,East of England Commissioning Region,"The Queen Elizabeth Hospital, King'S Lynn, NHS Foundation Trust",NHS Norfolk And Waveney Integrated Care Board,,,,
Y03571,Midlands Commissioning Region,Corby Urgent Care Centre,NHS Northamptonshire Integrated Care Board,,,,
RNQ,Midlands Commissioning Region,Kettering General Hospital NHS Foundation Trust,NHS Northamptonshire Integrated Care Board,,,,
RNS,Midlands Commissioning Region,Northampton General Hospital NHS Trust,NHS Northamptonshire Integrated Care Board,,,,
A5D4Q,Midlands Commissioning Region,NEMS UTC,NHS Nottingham And Nottinghamshire Integrated Care Board,,,,
NR3,Midlands Commissioning Region,Nottingham Citycare Partnership,NHS Nottingham And Nottinghamshire Integrated Care Board,,,,
RX1,Midlands Commissioning Region,Nottingham University Hospitals NHS Trust,NHS Nottingham And Nottinghamshire Integrated Care Board,,,,
RK5,Midlands Commissioning Region,Sherwood Forest Hospitals NHS Foundation Trust,NHS Nottingham And Nottinghamshire Integrated Care Board,,,,
RXW,Midlands Commissioning Region,The Shrewsbury And Telford Hospital NHS Trust,"NHS Shropshire, Telford And Wrekin Integrated Care Board",,,,
R1D,Midlands Commissioning Region,Shropshire Community Health NHS Trust,"NHS Shropshire, Telford And Wrekin Integrated Care Board",,,,
RL1,Midlands Commissioning Region,The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,"NHS Shropshire, Telford And Wrekin Integrated Care Board",,,,
RJE,Midlands Commissioning Region,University Hospitals of North Midlands NHS Trust,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,,,,
NQ108,East of England Commissioning Region,Clacton Hospital,NHS Suffolk And North East Essex Integrated Care Board,,,,
RDE,East of England Commissioning Region,East Suffolk And North Essex NHS Foundation Trust,NHS Suffolk And North East Essex Integrated Care Board,,,,
NQ106,East of England Commissioning Region,Fryatt Hospital,NHS Suffolk And North East Essex Integrated Care Board,,,,
RGQ,East of England Commissioning Region,Ipswich Hospital NHS Trust,NHS Suffolk And North East Essex Integrated Care Board,,,,
RGR,East of England Commissioning Region,West Suffolk NHS Foundation Trust,NHS Suffolk And North East Essex Integrated Care Board,,,,
RXK,Midlands Commissioning Region,Sandwell and West Birmingham Hospitals NHS Trust,NHS Black Country Integrated Care Board,,,,
NQTE4,Midlands Commissioning Region,Summerfield Urgent Care Centre,NHS Black Country Integrated Care Board,,,,
RNA,Midlands Commissioning Region,The Dudley Group NHS Foundation Trust,NHS Black Country Integrated Care Board,,,,
RL4,Midlands Commissioning Region,The Royal Wolverhampton NHS Trust,NHS Black Country Integrated Care Board,,,,
RBK,Midlands Commissioning Region,Walsall Healthcare NHS Trust,NHS Black Country Integrated Care Board,,,,
ATQ02,Midlands Commissioning Region,Walsall Urgent Care Centre (Community Site),NHS Black Country Integrated Care Board,,,,
RTV,North West Commissioning Region,5 Boroughs Partnership NHS Foundation Trust,NHS Cheshire And Merseyside Integrated Care Board,,,,
RBS,North West Commissioning Region,Alder Hey Children'S NHS Foundation Trust,NHS Cheshire And Merseyside Integrated Care Board,,,,
RY2,North West Commissioning Region,Bridgewater Community Healthcare NHS Foundation Trust,NHS Cheshire And Merseyside Integrated Care Board,,,,
RJR,North West Commissioning Region,Countess of Chester Hospital NHS Foundation Trust,NHS Cheshire And Merseyside Integrated Care Board,,,,
RJN,North West Commissioning Region,East Cheshire NHS Trust,NHS Cheshire And Merseyside Integrated Care Board,,,,
RY1,North West Commissioning Region,Liverpool Community Health NHS Trust,NHS Cheshire And Merseyside Integrated Care Board,,,,
RBQ,North West Commissioning Region,Liverpool Heart and Chest Hospital NHS Foundation Trust,NHS Cheshire And Merseyside Integrated Care Board,,,,
REP,North West Commissioning Region,Liverpool Women'S NHS Foundation Trust,NHS Cheshire And Merseyside Integrated Care Board,,,,
RW4,North West Commissioning Region,Mersey Care NHS Foundation Trust,NHS Cheshire And Merseyside Integrated Care Board,,,,
RBT,North West Commissioning Region,Mid Cheshire Hospitals NHS Foundation Trust,NHS Cheshire And Merseyside Integrated Care Board,,,,
Y02532,North West Commissioning Region,Miriam Minor Emergency ,NHS Cheshire And Merseyside Integrated Care Board,,,,
REM,North West Commissioning Region,Liverpool University Hospitals NHS Foundation Trust,NHS Cheshire And Merseyside Integrated Care Board,,,,
RVY,North West Commissioning Region,Southport and Ormskirk Hospital NHS Trust,NHS Cheshire And Merseyside Integrated Care Board,,,,
RBN,North West Commissioning Region,Mersey And West Lancashire Teaching Hospitals NHS Trust,NHS Cheshire And Merseyside Integrated Care Board,,,,
RET,North West Commissioning Region,The Walton Centre NHS Foundation Trust,NHS Cheshire And Merseyside Integrated Care Board,,,,
RWW,North West Commissioning Region,Warrington And Halton Teaching Hospitals NHS Foundation Trust,NHS Cheshire And Merseyside Integrated Care Board,,,,
RY7,North West Commissioning Region,Wirral Community NHS Foundation Trust,NHS Cheshire And Merseyside Integrated Care Board,,,,
RBL,North West Commissioning Region,Wirral University Teaching Hospital NHS Foundation Trust,NHS Cheshire And Merseyside Integrated Care Board,,,,
RLN,North East and Yorkshire Commissioning Region,City Hospitals Sunderland NHS Foundation Trust,NHS North East And North Cumbria Integrated Care Board,,,,
RXP,North East and Yorkshire Commissioning Region,County Durham and Darlington NHS Foundation Trust,NHS North East And North Cumbria Integrated Care Board,,,,
RNN,North East and Yorkshire Commissioning Region,North Cumbria Integrated Care NHS Foundation Trust,NHS North East And North Cumbria Integrated Care Board,,,,
RR7,North East and Yorkshire Commissioning Region,Gateshead Health NHS Foundation Trust,NHS North East And North Cumbria Integrated Care Board,,,,
RVW,North East and Yorkshire Commissioning Region,North Tees and Hartlepool NHS Foundation Trust,NHS North East And North Cumbria Integrated Care Board,,,,
RTF,North East and Yorkshire Commissioning Region,Northumbria Healthcare NHS Foundation Trust,NHS North East And North Cumbria Integrated Care Board,,,,
RTR,North East and Yorkshire Commissioning Region,South Tees Hospitals NHS Foundation Trust,NHS North East And North Cumbria Integrated Care Board,,,,
R0B,North East and Yorkshire Commissioning Region,South Tyneside and Sunderland NHS Foundation Trust,NHS North East And North Cumbria Integrated Care Board,,,,
NLO01,North East and Yorkshire Commissioning Region,Sunderland Gp Out of Hours,NHS North East And North Cumbria Integrated Care Board,,,,
RTD,North East and Yorkshire Commissioning Region,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,NHS North East And North Cumbria Integrated Care Board,,,,
AJN,North East and Yorkshire Commissioning Region,Workington Health Limited,NHS North East And North Cumbria Integrated Care Board,,,,
RMC,North West Commissioning Region,Bolton NHS Foundation Trust,NHS Greater Manchester Integrated Care Board,,,,
RW3,North West Commissioning Region,Central Manchester University Hospitals NHS Foundation Trust,NHS Greater Manchester Integrated Care Board,,,,
Y02875,North West Commissioning Region,Lindley House Health Centre,NHS Greater Manchester Integrated Care Board,,,,
R0A,North West Commissioning Region,Manchester University NHS Foundation Trust,NHS Greater Manchester Integrated Care Board,,,,
RW6,North West Commissioning Region,Pennine Acute Hospitals NHS Trust,NHS Greater Manchester Integrated Care Board,,,,
RT2,North West Commissioning Region,Pennine Care NHS Foundation Trust,NHS Greater Manchester Integrated Care Board,,,,
RM3,North West Commissioning Region,Salford Royal NHS Foundation Trust,NHS Greater Manchester Integrated Care Board,,,,
RWJ,North West Commissioning Region,Stockport NHS Foundation Trust,NHS Greater Manchester Integrated Care Board,,,,
RMP,North West Commissioning Region,Tameside and Glossop Integrated Care NHS Foundation Trust,NHS Greater Manchester Integrated Care Board,,,,
RBV,North West Commissioning Region,The Christie NHS Foundation Trust,NHS Greater Manchester Integrated Care Board,,,,
RM2,North West Commissioning Region,University Hospital of South Manchester NHS Foundation Trust,NHS Greater Manchester Integrated Care Board,,,,
RRF,North West Commissioning Region,"Wrightington, Wigan and Leigh NHS Foundation Trust",NHS Greater Manchester Integrated Care Board,,,,
RXL,North West Commissioning Region,Blackpool Teaching Hospitals NHS Foundation Trust,NHS Lancashire And South Cumbria Integrated Care Board,,,,
RXR,North West Commissioning Region,East Lancashire Hospitals NHS Trust,NHS Lancashire And South Cumbria Integrated Care Board,,,,
RXN,North West Commissioning Region,Lancashire Teaching Hospitals NHS Foundation Trust,NHS Lancashire And South Cumbria Integrated Care Board,,,,
NV693,North West Commissioning Region,Rossendale MIU & OOH ,NHS Lancashire And South Cumbria Integrated Care Board,,,,
NQT5F,North West Commissioning Region,Skelmersdale Walk In Centre,NHS Lancashire And South Cumbria Integrated Care Board,,,,
RTX,North West Commissioning Region,University Hospitals of Morecambe Bay NHS Foundation Trust,NHS Lancashire And South Cumbria Integrated Care Board,,,,
NNF70,North East and Yorkshire Commissioning Region,Alfred Bean Hospital,NHS Humber And North Yorkshire Integrated Care Board,,,,
NNF09,North East and Yorkshire Commissioning Region,Bransholme Health Centre,NHS Humber And North Yorkshire Integrated Care Board,,,,
NNF16,North East and Yorkshire Commissioning Region,Bridlington Hospital,NHS Humber And North Yorkshire Integrated Care Board,,,,
NNF94,North East and Yorkshire Commissioning Region,East Riding Community Hospital,NHS Humber And North Yorkshire Integrated Care Board,,,,
NNF28,North East and Yorkshire Commissioning Region,Freedom Centre,NHS Humber And North Yorkshire Integrated Care Board,,,,
NNFA7,North East and Yorkshire Commissioning Region,Goole & District Hospital,NHS Humber And North Yorkshire Integrated Care Board,,,,
NNFA7,North East and Yorkshire Commissioning Region,Goole & District Hospital,NHS Humber And North Yorkshire Integrated Care Board,,,,
NNF99,North East and Yorkshire Commissioning Region,Hornsea Cottage Hospital ,NHS Humber And North Yorkshire Integrated Care Board,,,,
RWA,North East and Yorkshire Commissioning Region,Hull University Teaching Hospitals NHS Trust,NHS Humber And North Yorkshire Integrated Care Board,,,,
RV9,North East and Yorkshire Commissioning Region,Humber NHS Foundation Trust,NHS Humber And North Yorkshire Integrated Care Board,,,,
RJL,North East and Yorkshire Commissioning Region,Northern Lincolnshire and Goole NHS Foundation Trust,NHS Humber And North Yorkshire Integrated Care Board,,,,
NNF76,North East and Yorkshire Commissioning Region,The Wilberforce Health Centre,NHS Humber And North Yorkshire Integrated Care Board,,,,
NNF18,North East and Yorkshire Commissioning Region,Withernsea Hospital,NHS Humber And North Yorkshire Integrated Care Board,,,,
RCB,North East and Yorkshire Commissioning Region,York And Scarborough Teaching Hospitals NHS Foundation Trust,NHS Humber And North Yorkshire Integrated Care Board,,,,
